1001	1	Savings	9000.00
1002	1	Checking	1500.00
1003	2	Savings	7000.00
1004	3	Checking	3200.00
1005	4	Savings	8500.00
1006	5	Checking	1000.00
1007	5	Savings	5000.00
1008	6	Savings	7800.00
1009	7	Savings	6000.00
1010	8	Checking	2200.00
1011	9	Savings	9300.00
1012	10	Savings	3100.00
1013	11	Checking	1500.00
1014	12	Savings	8000.00
1015	13	Checking	900.00
1016	14	Savings	7200.00
1017	15	Savings	6100.00
1018	16	Checking	2300.00
1019	17	Savings	4500.00
1020	18	Savings	7700.00
1021	19	Checking	3300.00
1022	20	Savings	6500.00
1023	21	Savings	5900.00
1024	22	Checking	2700.00
1025	23	Savings	8100.00
1026	24	Checking	1200.00
1027	25	Savings	8900.00
